1 | 11 25 31 36 47 | 5 | 0
2 | 12 15 37 67 70 | 25 | 0
3 | 27 36 40 45 48 | 22 | 0
4 | 12 27 43 58 70 | 16 | 0
5 | 4 24 37 45 59 | 9 | 0
6 | 16 25 26 48 54 | 5 | 1
7 | 8 9 45 46 70 | 11 | 1
8 | 6 22 47 53 62 | 4 | 1
9 | 10 11 19 25 60 | 11 | 0
10 | 6 19 30 45 50 | 10 | 0
11 | 9 21 23 42 59 | 9 | 1
12 | 4 5 19 29 44 | 15 | 1
13 | 6 17 20 24 54 | 2 | 0
14 | 7 10 33 43 62 | 9 | 1
15 | 18 24 25 48 51 | 19 | 1
16 | 4 5 15 31 38 | 1 | 1
17 | 9 17 21 40 54 | 7 | 0
18 | 28 32 45 59 60 | 9 | 1
19 | 6 31 36 44 58 | 3 | 1
20 | 10 14 49 54 55 | 18 | 1
21 | 10 20 24 59 68 | 2 | 1
22 | 7 25 46 47 49 | 24 | 0
23 | 16 24 35 42 66 | 25 | 1
24 | 13 21 49 58 70 | 23 | 0
25 | 8 11 23 60 63 | 21 | 0
26 | 11 17 49 57 59 | 14 | 1
27 | 26 35 39 45 69 | 7 | 0
28 | 20 24 31 42 66 | 2 | 0
29 | 21 33 36 48 54 | 14 | 0
30 | 7 16 26 54 70 | 16 | 1
31 | 15 36 47 55 70 | 19 | 0
32 | 24 39 40 57 61 | 18 | 1
33 | 12 18 39 46 57 | 17 | 0
34 | 8 11 16 19 69 | 25 | 1
35 | 18 33 40 45 67 | 5 | 0
36 | 5 43 55 58 59 | 24 | 1
37 | 15 33 51 63 65 | 8 | 1
38 | 33 41 43 46 69 | 10 | 0
39 | 16 32 46 47 65 | 9 | 1
40 | 10 44 52 57 67 | 20 | 0
41 | 16 24 33 58 60 | 20 | 1
42 | 33 37 42 56 63 | 3 | 1
43 | 11 13 16 37 58 | 16 | 0
44 | 6 7 23 45 55 | 10 | 1
45 | 19 36 37 42 48 | 11 | 1
46 | 1 19 26 49 57 | 13 | 1
47 | 6 22 41 57 67 | 9 | 0
48 | 21 25 32 45 48 | 14 | 0
49 | 7 8 12 42 69 | 14 | 1
50 | 16 29 38 54 63 | 10 | 1
51 | 2 27 32 34 58 | 8 | 1
52 | 19 22 25 42 50 | 11 | 1
53 | 6 19 50 62 66 | 24 | 1
54 | 11 26 40 57 63 | 7 | 0
55 | 3 5 13 28 64 | 21 | 0
56 | 3 14 18 25 40 | 8 | 0
57 | 5 14 46 47 53 | 16 | 0
58 | 4 18 23 45 49 | 22 | 1
59 | 22 26 43 58 68 | 15 | 0
60 | 7 24 33 43 68 | 15 | 0
61 | 7 10 17 25 63 | 2 | 0
62 | 2 22 26 33 62 | 21 | 0
63 | 6 15 32 36 65 | 14 | 0
64 | 12 15 25 28 69 | 22 | 0
65 | 5 15 16 43 51 | 5 | 0
66 | 17 26 43 55 64 | 21 | 0
67 | 28 29 57 60 63 | 19 | 0
68 | 4 11 21 47 67 | 7 | 0
69 | 8 39 47 65 68 | 16 | 1
70 | 1 24 35 48 55 | 1 | 1
71 | 24 30 46 49 51 | 19 | 1
72 | 4 6 9 57 65 | 6 | 0
73 | 7 8 34 58 67 | 18 | 0
74 | 8 32 43 53 63 | 10 | 1
75 | 8 13 21 53 58 | 3 | 1
76 | 14 24 31 35 68 | 3 | 0
77 | 5 11 31 38 61 | 15 | 1
78 | 12 22 28 29 46 | 20 | 1
79 | 1 21 23 44 56 | 15 | 1
80 | 2 9 17 19 23 | 22 | 0
81 | 1 13 15 21 64 | 25 | 1
82 | 6 7 18 27 56 | 12 | 1
83 | 43 45 48 59 66 | 4 | 0
84 | 12 21 22 27 60 | 14 | 1
